timestamp,camera_name,image_path,intent_or_blank
2025-09-23T15:25:30,CameraWifi,vipham\vipham_20250923_152530_564459.jpg,CALL
2025-09-23T15:25:43,CameraWifi,vipham\vipham_20250923_152543_772142.jpg,
2025-09-23T15:25:50,CameraWifi,vipham\vipham_20250923_152550_492439.jpg,
2025-09-23T15:25:56,CameraWifi,vipham\vipham_20250923_152556_796688.jpg,
2025-09-23T15:26:00,Lớp 9A4 - góc trái,vipham\vipham_20250923_152600_602343.jpg,CALL
2025-09-23T15:26:02,Lớp 9A4 - góc trái,vipham\vipham_20250923_152602_231342.jpg,CALL
2025-09-23T15:26:05,CameraWifi,vipham\vipham_20250923_152605_679685.jpg,
2025-09-23T15:26:10,CameraWifi,vipham\vipham_20250923_152610_805835.jpg,
2025-09-23T15:26:30,CameraWifi,vipham\vipham_20250923_152630_130612.jpg,
2025-09-23T15:26:43,Lớp 9A4 - góc trái,vipham\vipham_20250923_152643_755035.jpg,CALL
2025-09-23T15:26:48,CameraWifi,vipham\vipham_20250923_152648_063789.jpg,
2025-09-23T15:26:57,Lớp 9A4 - góc trái,vipham\vipham_20250923_152657_786471.jpg,CALL
2025-09-23T15:26:59,Lớp 9A4 - góc trái,vipham\vipham_20250923_152659_645809.jpg,CALL
2025-09-23T15:27:01,Lớp 9A4 - góc trái,vipham\vipham_20250923_152701_385099.jpg,CALL
2025-09-23T15:27:03,Lớp 9A4 - góc trái,vipham\vipham_20250923_152703_089846.jpg,CALL
2025-09-23T15:27:13,CameraWifi,vipham\vipham_20250923_152713_369579.jpg,
2025-09-23T15:27:19,CameraWifi,vipham\vipham_20250923_152719_604370.jpg,
2025-09-23T15:27:24,Lớp 9A4 - góc trái,vipham\vipham_20250923_152724_452294.jpg,CALL
2025-09-23T15:27:24,CameraWifi,vipham\vipham_20250923_152724_668764.jpg,
2025-09-23T15:27:26,Lớp 9A4 - góc trái,vipham\vipham_20250923_152726_110968.jpg,CALL
2025-09-23T15:27:27,Lớp 9A4 - góc trái,vipham\vipham_20250923_152727_516814.jpg,CALL
2025-09-23T15:27:29,Lớp 9A4 - góc trái,vipham\vipham_20250923_152729_416451.jpg,CALL
2025-09-23T15:27:29,CameraWifi,vipham\vipham_20250923_152729_835191.jpg,
2025-09-23T15:27:31,Lớp 9A4 - góc trái,vipham\vipham_20250923_152731_260467.jpg,CALL
2025-09-23T15:27:32,Lớp 9A4 - góc trái,vipham\vipham_20250923_152732_658459.jpg,CALL
2025-09-23T15:27:34,Lớp 9A4 - góc trái,vipham\vipham_20250923_152734_139506.jpg,CALL
2025-09-23T15:27:39,CameraWifi,vipham\vipham_20250923_152739_534772.jpg,
2025-09-23T15:27:39,Lớp 9A4 - góc trái,vipham\vipham_20250923_152739_735587.jpg,CALL
2025-09-23T15:27:46,CameraWifi,vipham\vipham_20250923_152746_124346.jpg,
2025-09-23T15:27:46,Lớp 9A4 - góc trái,vipham\vipham_20250923_152746_308859.jpg,CALL
2025-09-23T15:27:47,Lớp 9A4 - góc trái,vipham\vipham_20250923_152747_746139.jpg,CALL
2025-09-23T15:27:52,CameraWifi,vipham\vipham_20250923_152752_667534.jpg,
2025-09-23T15:27:53,Lớp 9A4 - góc trái,vipham\vipham_20250923_152753_250722.jpg,CALL
2025-09-23T15:27:55,Lớp 9A4 - góc trái,vipham\vipham_20250923_152755_819587.jpg,CALL
2025-09-23T15:27:57,Lớp 9A4 - góc trái,vipham\vipham_20250923_152757_284197.jpg,CALL
2025-09-23T15:27:57,CameraWifi,vipham\vipham_20250923_152757_844613.jpg,
2025-09-23T15:28:00,Lớp 9A4 - góc trái,vipham\vipham_20250923_152800_323076.jpg,CALL
2025-09-23T15:28:01,Lớp 9A4 - góc trái,vipham\vipham_20250923_152801_773891.jpg,CALL
2025-09-23T15:28:04,CameraWifi,vipham\vipham_20250923_152804_407667.jpg,
2025-09-23T15:28:13,CameraWifi,vipham\vipham_20250923_152813_372549.jpg,
2025-09-23T15:28:14,Lớp 9A4 - góc trái,vipham\vipham_20250923_152814_482938.jpg,CALL
2025-09-23T15:28:16,Lớp 9A4 - góc trái,vipham\vipham_20250923_152816_254286.jpg,CALL
2025-09-23T15:28:18,Lớp 9A4 - góc trái,vipham\vipham_20250923_152818_319011.jpg,CALL
2025-09-23T15:28:18,CameraWifi,vipham\vipham_20250923_152818_382497.jpg,
2025-09-23T15:28:22,Lớp 9A4 - góc trái,vipham\vipham_20250923_152822_604623.jpg,CALL
2025-09-23T15:28:23,CameraWifi,vipham\vipham_20250923_152823_640478.jpg,
2025-09-23T15:28:24,Lớp 9A4 - góc trái,vipham\vipham_20250923_152824_073726.jpg,CALL
2025-09-23T15:28:25,Lớp 9A4 - góc trái,vipham\vipham_20250923_152825_535166.jpg,CALL
2025-09-23T15:28:39,Lớp 9A4 - góc trái,vipham\vipham_20250923_152839_091452.jpg,CALL
2025-09-23T15:28:40,CameraWifi,vipham\vipham_20250923_152840_521097.jpg,CALL
2025-09-23T15:28:41,Lớp 9A4 - góc trái,vipham\vipham_20250923_152841_051258.jpg,CALL
2025-09-23T15:28:42,CameraWifi,vipham\vipham_20250923_152842_671153.jpg,CALL
2025-09-23T15:28:43,Lớp 9A4 - góc trái,vipham\vipham_20250923_152843_243495.jpg,CALL
2025-09-23T15:28:44,CameraWifi,vipham\vipham_20250923_152844_877692.jpg,CALL
2025-09-23T15:28:45,Lớp 9A4 - góc trái,vipham\vipham_20250923_152845_666589.jpg,CALL
2025-09-23T15:28:47,CameraWifi,vipham\vipham_20250923_152847_251630.jpg,CALL
2025-09-23T15:28:50,Lớp 9A4 - góc trái,vipham\vipham_20250923_152850_053958.jpg,CALL
2025-09-23T15:28:52,CameraWifi,vipham\vipham_20250923_152852_243518.jpg,CALL
2025-09-23T15:28:53,Lớp 9A4 - góc trái,vipham\vipham_20250923_152853_030779.jpg,CALL
2025-09-23T15:28:54,Lớp 9A4 - góc trái,vipham\vipham_20250923_152854_527792.jpg,CALL
2025-09-23T15:28:56,Lớp 9A4 - góc trái,vipham\vipham_20250923_152856_883461.jpg,CALL
2025-09-23T15:28:57,CameraWifi,vipham\vipham_20250923_152857_399471.jpg,CALL
2025-09-23T15:28:58,Lớp 9A4 - góc trái,vipham\vipham_20250923_152858_948499.jpg,CALL
2025-09-23T15:28:59,CameraWifi,vipham\vipham_20250923_152859_455956.jpg,CALL
2025-09-23T15:29:01,Lớp 9A4 - góc trái,vipham\vipham_20250923_152901_135276.jpg,VIEW
2025-09-23T15:29:02,CameraWifi,vipham\vipham_20250923_152902_485535.jpg,CALL
2025-09-23T15:29:03,Lớp 9A4 - góc trái,vipham\vipham_20250923_152903_017071.jpg,CALL
2025-09-23T15:29:04,Lớp 9A4 - góc trái,vipham\vipham_20250923_152904_868149.jpg,CALL
2025-09-23T15:29:05,CameraWifi,vipham\vipham_20250923_152905_517946.jpg,CALL
2025-09-23T15:29:06,Lớp 9A4 - góc trái,vipham\vipham_20250923_152906_644425.jpg,CALL
2025-09-23T15:29:08,Lớp 9A4 - góc trái,vipham\vipham_20250923_152908_352655.jpg,CALL
2025-09-23T15:29:10,Lớp 9A4 - góc trái,vipham\vipham_20250923_152910_005268.jpg,CALL
2025-09-23T15:29:10,CameraWifi,vipham\vipham_20250923_152910_420714.jpg,CALL
2025-09-23T15:29:11,Lớp 9A4 - góc trái,vipham\vipham_20250923_152911_874740.jpg,CALL
2025-09-23T15:29:12,CameraWifi,vipham\vipham_20250923_152912_762271.jpg,CALL
2025-09-23T15:29:13,Lớp 9A4 - góc trái,vipham\vipham_20250923_152913_979408.jpg,CALL
2025-09-23T15:29:15,Lớp 9A4 - góc trái,vipham\vipham_20250923_152915_537120.jpg,CALL
2025-09-23T15:29:16,CameraWifi,vipham\vipham_20250923_152916_061128.jpg,CALL
2025-09-23T15:31:27,Lớp 9A4 - góc trái,vipham\vipham_20250923_153126_993952.jpg,CALL
2025-09-23T15:31:28,Lớp 9A4 - góc trái,vipham\vipham_20250923_153128_717593.jpg,CALL
2025-09-23T15:31:29,CameraWifi,vipham\vipham_20250923_153129_493551.jpg,CALL
2025-09-23T15:31:34,Lớp 9A4 - góc trái,vipham\vipham_20250923_153134_789780.jpg,VIEW
2025-09-23T15:31:52,Lớp 9A4 - góc trái,vipham\vipham_20250923_153152_240625.jpg,CALL
2025-09-23T15:31:58,Lớp 9A4 - góc trái,vipham\vipham_20250923_153158_841654.jpg,CALL
2025-09-23T15:32:00,CameraWifi,vipham\vipham_20250923_153200_921274.jpg,CALL
2025-09-23T15:32:10,Lớp 9A4 - góc trái,vipham\vipham_20250923_153210_643160.jpg,TEXT
2025-09-23T15:33:26,Lớp 9A4 - góc trái,vipham\vipham_20250923_153326_110465.jpg,
2025-09-23T15:33:29,CameraWifi,vipham\vipham_20250923_153329_525607.jpg,CALL
2025-09-23T15:33:31,CameraWifi,vipham\vipham_20250923_153331_203770.jpg,CALL
2025-09-23T15:33:38,Lớp 9A4 - góc trái,vipham\vipham_20250923_153338_136670.jpg,
